time_min,job_code,job_id,site_id,plane_id,proc_min,move_min,FixedDevices,MobileDevices
420.00,ZY_Z,0,0,0,1.00,0.00,,
421.00,ZY_M,1,26,0,0.00,0.25,,
421.25,ZY_M,1,26,0,0.00,0.00,,
421.25,ZY01,2,26,0,1.00,0.00,,
422.25,ZY_Z,0,0,1,1.00,0.00,,
423.25,ZY02,3,26,0,1.00,0.00,FR28,
423.25,ZY03,4,26,0,1.00,0.00,FR8,
423.25,ZY04,5,26,0,3.16,0.00,FR16,MR17
423.25,ZY05,6,26,0,3.16,0.00,FR12,MR13
423.25,ZY06,7,26,0,4.00,0.00,FR24,
423.25,ZY_L,20,26,0,1.00,0.00,,
423.25,ZY_M,1,25,1,0.00,0.23,,
423.47,ZY_M,1,25,1,0.00,0.00,,
423.47,ZY01,2,25,1,1.00,0.00,,
424.47,ZY_Z,0,0,2,1.00,0.00,,
425.47,ZY02,3,25,1,1.00,0.00,FR28,
425.47,ZY03,4,25,1,1.00,0.00,FR8,
425.47,ZY04,5,25,1,3.20,0.00,FR16,MR16
425.47,ZY05,6,25,1,3.20,0.00,FR12,MR12
425.47,ZY06,7,25,1,4.00,0.00,FR24,
425.47,ZY_L,20,25,1,1.00,0.00,,
425.47,ZY_M,1,20,2,0.00,0.30,,
425.77,ZY_M,1,20,2,0.00,0.00,,
425.77,ZY01,2,20,2,1.00,0.00,,
426.77,ZY_Z,0,0,3,1.00,0.00,,
427.25,ZY02,3,20,2,1.00,0.00,FR27,
427.25,ZY03,4,20,2,1.00,0.00,FR7,
427.25,ZY04,5,20,2,3.11,0.00,FR15,MR17
427.25,ZY05,6,20,2,3.11,0.00,FR11,MR13
427.25,ZY06,7,20,2,4.00,0.00,FR23,
427.25,ZY_L,20,20,2,1.00,0.00,,
427.77,ZY01,2,26,0,1.00,0.00,,
427.77,ZY07,8,26,0,2.16,0.00,FR20,MR09
427.77,ZY08,9,26,0,1.00,0.00,,
427.77,ZY09,10,26,0,2.00,0.00,FR24,
427.77,ZY10,11,26,0,16.00,0.00,FR4,
427.77,ZY13,14,26,0,1.00,0.00,,
427.77,ZY_T,21,26,0,0.16,0.00,,MR21
427.77,ZY_M,1,6,3,0.00,0.28,,
428.06,ZY_M,1,6,3,0.00,0.00,,
428.06,ZY01,2,6,3,1.00,0.00,,
428.06,ZY_Z,0,0,4,1.00,0.00,,
429.06,ZY_M,1,6,4,0.00,0.28,,
429.34,ZY02,3,6,3,1.00,0.00,FR25,
429.34,ZY03,4,6,3,1.00,0.00,FR5,
429.34,ZY04,5,6,3,3.17,0.00,FR13,MR14
429.34,ZY05,6,6,3,3.17,0.00,FR9,MR10
429.34,ZY06,7,6,3,4.00,0.00,FR21,
429.34,ZY_L,20,6,3,1.00,0.00,,
429.34,ZY_M,1,6,4,0.00,0.00,,
